Age,City,Gender,Income,Education,Occupation/Job,Geophysical Location,Tech Level,Disability,Budget,Usage Frequency
64,Bengaluru,Female,516405,Undergraduate degree,Unemployed,Sub-urban,Medium,Mobility impairment,13787,Monthly
20,Jaipur,Female,1286610,Postgraduate degree,Businessperson,Urban,Low,Visual impairment (Blind),53637,Daily
48,Visakhapatnam,Non-binary,272378,Primary education,Technician,Sub-urban,Medium,Hearing impairment,66985,Weekly
50,Ahmedabad,Male,243315,Postgraduate degree,Technician,Urban,Low,Hearing impairment,34751,Weekly
33,Kolkata,Non-binary,367426,No formal education,Businessperson,Urban,Low,Visual impairment (Blind),49585,Monthly
65,Thane,Non-binary,1325314,No formal education,Businessperson,Sub-urban,Medium,Visual impairment (Blind),34382,Daily
20,Bengaluru,Non-binary,895979,Primary education,Engineer,Sub-urban,High,Cognitive impairment,84046,Monthly
59,Chennai,Female,599315,Secondary education,Student,Urban,Medium,Mobility impairment,51977,Daily
28,Mumbai,Non-binary,153300,Undergraduate degree,Artist,Rural,Medium,Hearing impairment,80703,Monthly
64,Kolkata,Non-binary,578662,Postgraduate degree,Teacher,Rural,Low,Hearing impairment,85956,Weekly
42,Kolkata,Male,1337360,Postgraduate degree,Student,Urban,Low,Speech impairment,93283,Monthly
18,Jaipur,Female,629687,No formal education,Farmer,Urban,High,Mobility impairment,54466,Daily
35,Nagpur,Non-binary,1251187,Primary education,Artist,Urban,Medium,Mobility impairment,75245,Daily
67,Kanpur,Male,1919163,Secondary education,Artist,Rural,Low,Hearing impairment,87374,Monthly
45,Indore,Male,1211132,No formal education,Artist,Urban,Medium,Cognitive impairment,52096,Monthly
56,Thane,Female,1004413,Undergraduate degree,Teacher,Rural,Medium,Mobility impairment,5708,Weekly
58,Hyderabad,Male,1356901,Undergraduate degree,Doctor,Sub-urban,High,Speech impairment,79020,Weekly
73,Thane,Female,1966990,Primary education,Engineer,Rural,High,Visual impairment (Blind),31536,Weekly
27,Chennai,Male,556560,Secondary education,Farmer,Rural,Low,Visual impairment (Blind),45409,Daily
46,Bhopal,Non-binary,1474472,Undergraduate degree,Engineer,Rural,Medium,Speech impairment,94507,Daily
25,Ahmedabad,Male,1923239,Secondary education,Businessperson,Sub-urban,Low,Visual impairment (Blind),89029,Monthly
65,Ahmedabad,Female,502792,Secondary education,Doctor,Rural,Medium,Hearing impairment,77923,Monthly
60,Bengaluru,Male,702831,Undergraduate degree,Unemployed,Sub-urban,Low,Hearing impairment,89835,Weekly
76,Visakhapatnam,Male,1099630,Postgraduate degree,Technician,Rural,Low,Visual impairment (Blind),64730,Daily
71,Lucknow,Non-binary,1497241,Postgraduate degree,Teacher,Sub-urban,Low,Cognitive impairment,75820,Daily
77,Kanpur,Female,1770282,Secondary education,Doctor,Rural,Medium,Cognitive impairment,19288,Daily
59,Chennai,Female,1656479,Postgraduate degree,Businessperson,Urban,Low,Mobility impairment,14492,Daily
73,Vadodara,Female,1057154,Postgraduate degree,Farmer,Rural,High,Hearing impairment,82892,Monthly
63,Delhi,Non-binary,1589152,Undergraduate degree,Student,Sub-urban,Low,Cognitive impairment,99938,Monthly
22,Pimpri-Chinchwad,Female,1165384,Primary education,Technician,Rural,Medium,Mobility impairment,52249,Monthly
53,Patna,Non-binary,641770,Secondary education,Unemployed,Urban,Medium,Speech impairment,44152,Monthly
52,Hyderabad,Non-binary,1775142,Secondary education,Doctor,Urban,High,Visual impairment (Blind),83952,Monthly
65,Bhopal,Male,565511,No formal education,Teacher,Urban,High,Cognitive impairment,96363,Monthly
20,Vadodara,Male,772038,Secondary education,Businessperson,Urban,Medium,Mobility impairment,46592,Weekly
57,Kanpur,Male,688161,No formal education,Farmer,Sub-urban,Low,Cognitive impairment,56732,Weekly
74,Delhi,Non-binary,1185110,No formal education,Student,Urban,Medium,Cognitive impairment,8853,Monthly
66,Thane,Female,1991092,Undergraduate degree,Doctor,Rural,Low,Cognitive impairment,54535,Weekly
67,Mumbai,Non-binary,1928702,Primary education,Doctor,Rural,Low,Mobility impairment,70440,Weekly
64,Kolkata,Male,1929376,Undergraduate degree,Farmer,Rural,Medium,Cognitive impairment,30715,Weekly
25,Delhi,Male,726621,Secondary education,Unemployed,Urban,Low,Mobility impairment,74869,Weekly
37,Patna,Male,1163306,Undergraduate degree,Unemployed,Rural,Low,Visual impairment (Blind),54887,Monthly
23,Chennai,Male,1104150,Undergraduate degree,Unemployed,Rural,Low,Visual impairment (Blind),14031,Weekly
63,Nagpur,Male,593142,Primary education,Unemployed,Sub-urban,Low,Visual impairment (Blind),62866,Monthly
74,Vadodara,Male,677394,Primary education,Teacher,Urban,Low,Visual impairment (Blind),20968,Weekly
22,Vadodara,Female,1392793,Undergraduate degree,Artist,Sub-urban,Low,Speech impairment,31651,Weekly
18,Surat,Female,365639,Undergraduate degree,Technician,Rural,High,Cognitive impairment,71363,Weekly
23,Patna,Non-binary,532448,Secondary education,Engineer,Rural,High,Visual impairment (Blind),17521,Monthly
25,Mumbai,Male,770912,No formal education,Technician,Sub-urban,High,Hearing impairment,41814,Monthly
44,Vadodara,Non-binary,469872,Postgraduate degree,Student,Urban,Low,Cognitive impairment,52680,Monthly
43,Bhopal,Female,1129653,Postgraduate degree,Technician,Urban,Medium,Visual impairment (Blind),28701,Weekly
77,Nagpur,Non-binary,390076,Primary education,Student,Rural,Low,Hearing impairment,44528,Monthly
32,Kanpur,Female,1109399,Postgraduate degree,Doctor,Rural,Low,Visual impairment (Blind),29557,Monthly
33,Mumbai,Female,1016728,Postgraduate degree,Teacher,Urban,Low,Visual impairment (Blind),41183,Weekly
70,Visakhapatnam,Male,1982345,Secondary education,Artist,Urban,Medium,Mobility impairment,11436,Monthly
57,Bengaluru,Non-binary,1567916,Undergraduate degree,Artist,Sub-urban,Low,Hearing impairment,10331,Monthly
61,Bengaluru,Male,729901,Secondary education,Unemployed,Urban,Medium,Mobility impairment,9035,Monthly
77,Hyderabad,Female,242554,Undergraduate degree,Engineer,Urban,Medium,Hearing impairment,36520,Daily
21,Nagpur,Non-binary,1603489,Postgraduate degree,Engineer,Urban,High,Cognitive impairment,99344,Daily
43,Lucknow,Male,1061387,Postgraduate degree,Businessperson,Rural,Low,Cognitive impairment,35186,Daily
51,Chennai,Female,1483252,No formal education,Unemployed,Rural,Medium,Visual impairment (Blind),50054,Daily
72,Kolkata,Non-binary,1680202,Secondary education,Farmer,Rural,Medium,Hearing impairment,84496,Monthly
68,Chennai,Male,1475400,Undergraduate degree,Student,Sub-urban,Low,Cognitive impairment,29289,Monthly
66,Jaipur,Male,1756264,Undergraduate degree,Farmer,Urban,Medium,Visual impairment (Blind),39752,Weekly
62,Bengaluru,Female,1480406,Postgraduate degree,Businessperson,Sub-urban,High,Mobility impairment,86449,Daily
55,Bhopal,Female,753718,Postgraduate degree,Teacher,Urban,High,Visual impairment (Blind),15098,Daily
30,Hyderabad,Female,227548,Primary education,Unemployed,Rural,High,Visual impairment (Blind),94113,Monthly
20,Bhopal,Non-binary,1396823,Secondary education,Artist,Sub-urban,Medium,Speech impairment,53357,Weekly
67,Pimpri-Chinchwad,Non-binary,1687415,Undergraduate degree,Farmer,Rural,Medium,Mobility impairment,83711,Weekly
56,Hyderabad,Male,525961,Primary education,Technician,Urban,Medium,Hearing impairment,25008,Monthly
79,Patna,Female,535488,Secondary education,Student,Sub-urban,Low,Cognitive impairment,99540,Weekly
63,Kanpur,Male,802106,No formal education,Farmer,Urban,High,Visual impairment (Blind),28800,Daily
77,Mumbai,Male,1955406,Undergraduate degree,Teacher,Sub-urban,Low,Cognitive impairment,93757,Weekly
58,Indore,Female,465512,Postgraduate degree,Businessperson,Urban,High,Mobility impairment,47243,Monthly
77,Surat,Male,1776568,No formal education,Businessperson,Rural,High,Hearing impairment,42892,Monthly
39,Bengaluru,Male,713371,No formal education,Unemployed,Urban,Medium,Cognitive impairment,94453,Daily
25,Vadodara,Male,1296920,Primary education,Businessperson,Sub-urban,High,Speech impairment,51240,Weekly
28,Delhi,Male,1329414,Undergraduate degree,Student,Rural,Medium,Speech impairment,80943,Monthly
49,Lucknow,Non-binary,1816125,Undergraduate degree,Unemployed,Rural,Low,Mobility impairment,43358,Monthly
24,Kolkata,Male,306651,Primary education,Businessperson,Urban,Medium,Visual impairment (Blind),60258,Daily
29,Pune,Non-binary,218235,Secondary education,Artist,Sub-urban,Medium,Speech impairment,20516,Monthly
51,Delhi,Female,803574,Primary education,Teacher,Sub-urban,Low,Hearing impairment,8490,Monthly
66,Delhi,Female,1702937,Primary education,Unemployed,Rural,Low,Visual impairment (Blind),64087,Weekly
34,Jaipur,Non-binary,1949555,Primary education,Teacher,Urban,High,Cognitive impairment,25456,Daily
56,Indore,Male,1007139,Primary education,Artist,Rural,Medium,Hearing impairment,50004,Weekly
53,Vadodara,Female,318867,No formal education,Farmer,Rural,Low,Hearing impairment,72912,Monthly
61,Pimpri-Chinchwad,Male,308897,No formal education,Artist,Rural,Low,Cognitive impairment,44071,Monthly
60,Chennai,Male,1618541,Undergraduate degree,Businessperson,Sub-urban,Medium,Visual impairment (Blind),99554,Daily
54,Kolkata,Female,394362,Postgraduate degree,Doctor,Sub-urban,Medium,Visual impairment (Blind),17716,Daily
50,Visakhapatnam,Female,1557125,Postgraduate degree,Engineer,Urban,Medium,Speech impairment,17951,Daily
53,Thane,Non-binary,1429144,Secondary education,Technician,Rural,Medium,Visual impairment (Blind),94145,Daily
74,Hyderabad,Female,1785211,Postgraduate degree,Teacher,Urban,Low,Mobility impairment,64294,Daily
48,Bengaluru,Female,377717,Undergraduate degree,Teacher,Rural,Low,Visual impairment (Blind),50792,Weekly
42,Bhopal,Non-binary,730845,Secondary education,Artist,Sub-urban,Medium,Visual impairment (Blind),18673,Weekly
72,Hyderabad,Male,526909,No formal education,Unemployed,Urban,Low,Speech impairment,15453,Daily
70,Kanpur,Male,354980,No formal education,Unemployed,Rural,Medium,Cognitive impairment,77074,Monthly
75,Patna,Non-binary,1563794,Primary education,Technician,Rural,Medium,Speech impairment,91379,Daily
23,Pune,Non-binary,850384,Postgraduate degree,Teacher,Sub-urban,Medium,Visual impairment (Blind),57385,Monthly
42,Kanpur,Female,978899,Secondary education,Engineer,Urban,Low,Mobility impairment,45924,Monthly
27,Patna,Male,684403,Primary education,Businessperson,Rural,Medium,Visual impairment (Blind),53906,Weekly
48,Ahmedabad,Male,370271,Primary education,Teacher,Urban,Low,Hearing impairment,15869,Monthly
68,Mumbai,Male,735476,Undergraduate degree,Technician,Sub-urban,High,Visual impairment (Blind),24635,Weekly
67,Kolkata,Female,1426354,Postgraduate degree,Artist,Sub-urban,High,Mobility impairment,54803,Monthly
61,Delhi,Female,822895,Postgraduate degree,Student,Rural,Medium,Cognitive impairment,6089,Weekly
38,Chennai,Male,897034,Undergraduate degree,Doctor,Urban,Low,Mobility impairment,48786,Weekly
38,Chennai,Non-binary,1505498,Undergraduate degree,Artist,Urban,High,Visual impairment (Blind),7716,Daily
21,Pimpri-Chinchwad,Non-binary,721920,Postgraduate degree,Engineer,Rural,Low,Cognitive impairment,49878,Weekly
63,Kanpur,Male,1928641,Primary education,Unemployed,Sub-urban,Medium,Speech impairment,75602,Monthly
45,Chennai,Non-binary,756268,No formal education,Engineer,Sub-urban,High,Hearing impairment,92250,Monthly
62,Bengaluru,Male,1439810,Undergraduate degree,Businessperson,Rural,Low,Visual impairment (Blind),32558,Monthly
78,Kolkata,Non-binary,1727520,Postgraduate degree,Artist,Urban,High,Cognitive impairment,87699,Weekly
75,Ahmedabad,Female,347075,Postgraduate degree,Businessperson,Sub-urban,Low,Cognitive impairment,38685,Monthly
70,Jaipur,Non-binary,1653221,Secondary education,Technician,Rural,Low,Mobility impairment,57259,Daily
74,Nagpur,Male,1232919,Secondary education,Student,Sub-urban,Low,Hearing impairment,83565,Daily
43,Pimpri-Chinchwad,Non-binary,123963,Primary education,Technician,Rural,Medium,Visual impairment (Blind),9091,Monthly
79,Patna,Male,1245512,Primary education,Unemployed,Sub-urban,Low,Hearing impairment,55737,Monthly
36,Kanpur,Non-binary,260070,Secondary education,Teacher,Urban,Medium,Hearing impairment,43703,Daily
62,Nagpur,Male,332771,No formal education,Teacher,Rural,Medium,Visual impairment (Blind),40859,Daily
18,Surat,Male,1859362,Secondary education,Teacher,Urban,High,Cognitive impairment,71640,Monthly
44,Jaipur,Male,1476462,Undergraduate degree,Technician,Rural,Medium,Mobility impairment,45268,Monthly
30,Thane,Female,1590582,Undergraduate degree,Teacher,Sub-urban,Low,Mobility impairment,52220,Monthly
57,Jaipur,Non-binary,380051,Postgraduate degree,Unemployed,Sub-urban,Medium,Speech impairment,46168,Weekly
32,Nagpur,Female,1976567,Postgraduate degree,Technician,Urban,Medium,Mobility impairment,83630,Monthly
30,Jaipur,Male,1971683,Secondary education,Technician,Urban,Medium,Hearing impairment,99973,Monthly
18,Kolkata,Male,1366687,Undergraduate degree,Teacher,Sub-urban,Low,Cognitive impairment,75469,Daily
53,Jaipur,Male,1497741,Secondary education,Technician,Urban,High,Visual impairment (Blind),62765,Monthly
29,Pune,Male,1242525,Undergraduate degree,Doctor,Rural,Medium,Speech impairment,33644,Monthly
75,Hyderabad,Male,936963,Secondary education,Student,Sub-urban,High,Cognitive impairment,71649,Daily
66,Hyderabad,Female,364124,Undergraduate degree,Businessperson,Rural,Low,Speech impairment,83193,Monthly
64,Bhopal,Male,1954800,No formal education,Engineer,Urban,Low,Hearing impairment,13537,Daily
70,Pune,Female,1534279,Undergraduate degree,Doctor,Urban,Low,Speech impairment,14158,Monthly
40,Pune,Non-binary,1591977,Secondary education,Student,Urban,High,Speech impairment,44586,Daily
21,Chennai,Male,1033062,Postgraduate degree,Artist,Sub-urban,Medium,Speech impairment,72242,Weekly
42,Ahmedabad,Male,1455556,No formal education,Businessperson,Urban,Low,Hearing impairment,17049,Monthly
37,Jaipur,Male,1099054,Undergraduate degree,Doctor,Sub-urban,Medium,Visual impairment (Blind),36299,Monthly
55,Mumbai,Female,627209,Undergraduate degree,Student,Urban,Medium,Hearing impairment,45416,Weekly
79,Chennai,Male,640907,Secondary education,Doctor,Rural,Medium,Speech impairment,48293,Daily
21,Pune,Non-binary,1182059,No formal education,Unemployed,Urban,Low,Speech impairment,49130,Weekly
55,Thane,Non-binary,1089438,Undergraduate degree,Unemployed,Sub-urban,High,Visual impairment (Blind),88668,Weekly
42,Chennai,Non-binary,1390924,No formal education,Teacher,Sub-urban,Low,Mobility impairment,28445,Daily
47,Patna,Non-binary,1704304,Secondary education,Unemployed,Urban,Low,Visual impairment (Blind),63982,Monthly
36,Hyderabad,Non-binary,1323882,Secondary education,Engineer,Urban,Low,Hearing impairment,84098,Monthly
69,Chennai,Female,1404762,Postgraduate degree,Farmer,Rural,High,Cognitive impairment,49994,Weekly
71,Bhopal,Female,332551,Undergraduate degree,Farmer,Sub-urban,Low,Hearing impairment,49750,Daily
35,Hyderabad,Non-binary,1297967,Primary education,Teacher,Rural,Medium,Cognitive impairment,85922,Daily
18,Patna,Non-binary,1136808,Secondary education,Student,Urban,Medium,Hearing impairment,36324,Monthly
52,Visakhapatnam,Female,1117553,Secondary education,Farmer,Sub-urban,High,Speech impairment,33845,Monthly
69,Ahmedabad,Male,1907524,No formal education,Teacher,Sub-urban,Medium,Mobility impairment,6419,Weekly
63,Jaipur,Male,1308121,Secondary education,Engineer,Urban,Low,Hearing impairment,63927,Weekly
71,Delhi,Male,1930446,Secondary education,Student,Urban,High,Mobility impairment,62521,Weekly
41,Chennai,Non-binary,1545100,Postgraduate degree,Engineer,Sub-urban,High,Cognitive impairment,41908,Weekly
74,Pimpri-Chinchwad,Non-binary,865404,No formal education,Teacher,Sub-urban,Medium,Visual impairment (Blind),52495,Daily
28,Thane,Non-binary,839111,Secondary education,Businessperson,Urban,High,Mobility impairment,82907,Daily
38,Chennai,Non-binary,1842361,Secondary education,Engineer,Sub-urban,Low,Hearing impairment,27191,Weekly
80,Indore,Male,789718,Undergraduate degree,Technician,Rural,Low,Hearing impairment,39043,Monthly
51,Lucknow,Female,932652,Secondary education,Farmer,Sub-urban,Medium,Hearing impairment,5003,Weekly
36,Patna,Female,334756,Undergraduate degree,Unemployed,Sub-urban,Medium,Visual impairment (Blind),34365,Monthly
49,Nagpur,Female,622898,Primary education,Teacher,Urban,Low,Speech impairment,96656,Monthly
44,Indore,Non-binary,165239,Secondary education,Unemployed,Urban,Low,Speech impairment,6925,Daily
60,Chennai,Male,725012,No formal education,Engineer,Sub-urban,Low,Hearing impairment,87937,Weekly
54,Vadodara,Female,202509,Undergraduate degree,Farmer,Rural,High,Visual impairment (Blind),9912,Monthly
70,Jaipur,Male,180652,Secondary education,Businessperson,Sub-urban,Low,Hearing impairment,92430,Weekly
67,Kolkata,Non-binary,651941,No formal education,Artist,Urban,Low,Mobility impairment,71427,Monthly
62,Lucknow,Male,165898,No formal education,Engineer,Sub-urban,Medium,Mobility impairment,8439,Monthly
79,Surat,Non-binary,1529749,Primary education,Engineer,Sub-urban,Low,Cognitive impairment,79430,Daily
26,Jaipur,Non-binary,1845307,No formal education,Farmer,Sub-urban,High,Hearing impairment,72810,Monthly
28,Lucknow,Male,456108,Undergraduate degree,Doctor,Urban,High,Mobility impairment,24023,Monthly
55,Hyderabad,Non-binary,1364078,No formal education,Artist,Urban,Low,Mobility impairment,35237,Weekly
43,Delhi,Non-binary,1523462,Undergraduate degree,Businessperson,Sub-urban,Low,Speech impairment,24233,Weekly
80,Kanpur,Male,1846709,Primary education,Doctor,Urban,Medium,Cognitive impairment,8302,Daily
65,Indore,Non-binary,508713,Undergraduate degree,Unemployed,Urban,Medium,Cognitive impairment,67044,Weekly
19,Pimpri-Chinchwad,Non-binary,633895,No formal education,Doctor,Rural,Low,Speech impairment,57381,Monthly
73,Kanpur,Non-binary,1625946,Postgraduate degree,Student,Urban,Low,Visual impairment (Blind),81638,Weekly
73,Bengaluru,Female,1122137,Primary education,Businessperson,Urban,High,Mobility impairment,8043,Weekly
52,Ahmedabad,Non-binary,1882456,Postgraduate degree,Engineer,Urban,Medium,Mobility impairment,64163,Weekly
61,Bengaluru,Female,975797,Secondary education,Student,Urban,Low,Mobility impairment,55945,Weekly
56,Bengaluru,Male,383718,No formal education,Student,Urban,Medium,Mobility impairment,12538,Weekly
39,Ahmedabad,Female,1900423,No formal education,Teacher,Sub-urban,Medium,Hearing impairment,5757,Monthly
28,Kanpur,Female,1419860,Primary education,Student,Rural,High,Cognitive impairment,55060,Daily
40,Bengaluru,Female,1188094,No formal education,Doctor,Urban,Low,Speech impairment,55510,Daily
56,Pimpri-Chinchwad,Non-binary,1797651,Primary education,Student,Rural,Low,Mobility impairment,57229,Daily
46,Mumbai,Non-binary,1286089,No formal education,Farmer,Rural,High,Hearing impairment,18754,Weekly
54,Pune,Non-binary,1051813,Primary education,Doctor,Rural,Low,Speech impairment,10797,Weekly
26,Pimpri-Chinchwad,Female,1674325,Undergraduate degree,Engineer,Urban,High,Visual impairment (Blind),67171,Monthly
25,Jaipur,Female,1834088,Undergraduate degree,Teacher,Urban,Low,Hearing impairment,99967,Monthly
79,Bengaluru,Female,948259,Secondary education,Teacher,Sub-urban,High,Visual impairment (Blind),34886,Monthly
59,Vadodara,Non-binary,1708500,Primary education,Engineer,Urban,Low,Mobility impairment,27853,Monthly
31,Delhi,Female,1406686,Primary education,Unemployed,Urban,Low,Visual impairment (Blind),52818,Daily
72,Mumbai,Female,1529881,Primary education,Technician,Sub-urban,High,Hearing impairment,8839,Daily
43,Bhopal,Male,1800177,Secondary education,Student,Urban,Low,Cognitive impairment,36661,Daily
24,Pune,Non-binary,1008111,No formal education,Doctor,Rural,Medium,Visual impairment (Blind),25949,Monthly
44,Vadodara,Female,1741147,Secondary education,Unemployed,Sub-urban,Medium,Cognitive impairment,61953,Weekly
60,Hyderabad,Non-binary,1210457,Postgraduate degree,Businessperson,Urban,Medium,Hearing impairment,76890,Daily
35,Bhopal,Female,1559798,Secondary education,Farmer,Sub-urban,High,Visual impairment (Blind),96911,Daily
40,Surat,Male,1863383,Secondary education,Businessperson,Rural,Medium,Mobility impairment,69137,Monthly
61,Pune,Female,1987113,No formal education,Unemployed,Rural,Medium,Speech impairment,56622,Monthly
49,Indore,Female,1830808,No formal education,Unemployed,Rural,High,Visual impairment (Blind),55312,Monthly
63,Chennai,Male,892851,Secondary education,Doctor,Urban,High,Cognitive impairment,89455,Monthly
65,Delhi,Female,627032,Undergraduate degree,Unemployed,Sub-urban,Low,Visual impairment (Blind),66807,Daily
69,Mumbai,Female,1415014,Primary education,Unemployed,Sub-urban,High,Visual impairment (Blind),52127,Daily
38,Kolkata,Non-binary,1583131,Undergraduate degree,Artist,Urban,Medium,Cognitive impairment,31505,Monthly
64,Patna,Female,1700242,Primary education,Businessperson,Rural,Low,Cognitive impairment,68001,Daily
49,Lucknow,Female,1626436,No formal education,Technician,Sub-urban,High,Hearing impairment,71849,Daily
34,Thane,Male,1888540,Secondary education,Technician,Sub-urban,Low,Cognitive impairment,50872,Weekly
42,Mumbai,Female,1870166,Primary education,Businessperson,Sub-urban,High,Mobility impairment,8836,Weekly
60,Bhopal,Male,1435490,Postgraduate degree,Engineer,Rural,High,Mobility impairment,34105,Weekly
36,Chennai,Female,1626868,No formal education,Businessperson,Urban,Low,Speech impairment,47127,Weekly
55,Bhopal,Non-binary,1941910,No formal education,Unemployed,Rural,Medium,Speech impairment,74157,Daily
27,Visakhapatnam,Female,869464,No formal education,Engineer,Sub-urban,High,Visual impairment (Blind),81810,Monthly
42,Mumbai,Female,774068,Undergraduate degree,Teacher,Sub-urban,Low,Speech impairment,13450,Monthly
22,Vadodara,Non-binary,1695825,Secondary education,Technician,Rural,Low,Hearing impairment,30217,Monthly
79,Bengaluru,Non-binary,627190,Secondary education,Businessperson,Sub-urban,Low,Visual impairment (Blind),26263,Weekly
33,Mumbai,Non-binary,1280749,No formal education,Farmer,Urban,Low,Speech impairment,14634,Weekly
80,Pimpri-Chinchwad,Male,225253,Postgraduate degree,Businessperson,Urban,Medium,Hearing impairment,70669,Daily
72,Indore,Female,714580,Primary education,Farmer,Sub-urban,Low,Mobility impairment,83013,Weekly
55,Pune,Female,1773911,No formal education,Doctor,Sub-urban,Medium,Speech impairment,54378,Daily
35,Chennai,Non-binary,125471,Undergraduate degree,Unemployed,Sub-urban,Low,Hearing impairment,6691,Weekly
39,Vadodara,Female,646254,No formal education,Student,Rural,Low,Speech impairment,29415,Monthly
19,Kanpur,Male,1878197,Primary education,Teacher,Rural,High,Visual impairment (Blind),53120,Daily
49,Indore,Female,1220746,Postgraduate degree,Artist,Sub-urban,Medium,Hearing impairment,39550,Monthly
24,Hyderabad,Non-binary,1467497,No formal education,Artist,Sub-urban,Low,Hearing impairment,71936,Monthly
78,Hyderabad,Female,1678270,Undergraduate degree,Doctor,Sub-urban,Medium,Hearing impairment,28440,Monthly
74,Kolkata,Non-binary,177904,Secondary education,Businessperson,Rural,Low,Cognitive impairment,35528,Weekly
79,Thane,Male,1196105,Postgraduate degree,Technician,Urban,Low,Cognitive impairment,43868,Daily
69,Pimpri-Chinchwad,Male,1047303,Postgraduate degree,Unemployed,Urban,Low,Hearing impairment,48758,Daily
76,Lucknow,Male,917458,Primary education,Farmer,Rural,High,Hearing impairment,77306,Weekly
72,Visakhapatnam,Non-binary,1966309,Primary education,Artist,Urban,High,Visual impairment (Blind),26712,Monthly
62,Mumbai,Female,1507209,Undergraduate degree,Student,Rural,High,Visual impairment (Blind),79126,Daily
42,Surat,Male,289501,Primary education,Unemployed,Sub-urban,Low,Visual impairment (Blind),18813,Weekly
18,Indore,Non-binary,286312,Primary education,Businessperson,Sub-urban,Low,Cognitive impairment,88801,Weekly
68,Pimpri-Chinchwad,Male,263907,Primary education,Businessperson,Urban,Low,Cognitive impairment,85046,Daily
58,Kolkata,Non-binary,383866,Primary education,Technician,Sub-urban,High,Visual impairment (Blind),54070,Monthly
54,Bengaluru,Female,1718654,Undergraduate degree,Student,Rural,High,Mobility impairment,37626,Daily
69,Patna,Female,603912,Undergraduate degree,Technician,Urban,Low,Mobility impairment,13164,Weekly
51,Bhopal,Non-binary,1455444,Undergraduate degree,Doctor,Sub-urban,High,Mobility impairment,41233,Weekly
37,Chennai,Non-binary,403104,Secondary education,Technician,Urban,Low,Speech impairment,48021,Monthly
71,Hyderabad,Non-binary,1303864,Primary education,Doctor,Rural,Low,Speech impairment,45479,Weekly
49,Surat,Female,511838,Primary education,Teacher,Sub-urban,High,Hearing impairment,89425,Monthly
27,Vadodara,Male,112238,Undergraduate degree,Unemployed,Urban,Low,Mobility impairment,85496,Monthly
29,Bhopal,Female,333057,Primary education,Unemployed,Rural,High,Speech impairment,15046,Weekly
58,Ahmedabad,Male,1341548,Secondary education,Unemployed,Urban,Medium,Hearing impairment,35479,Daily
50,Pimpri-Chinchwad,Non-binary,1249726,Secondary education,Engineer,Sub-urban,Medium,Cognitive impairment,48108,Weekly
69,Chennai,Female,626713,No formal education,Engineer,Rural,High,Speech impairment,41508,Weekly
34,Kanpur,Non-binary,1715291,Secondary education,Teacher,Rural,Low,Visual impairment (Blind),74530,Weekly
43,Indore,Female,768959,Undergraduate degree,Businessperson,Sub-urban,Medium,Visual impairment (Blind),13118,Monthly
76,Mumbai,Male,1096893,Primary education,Businessperson,Sub-urban,High,Mobility impairment,45397,Monthly
25,Vadodara,Female,1117549,Primary education,Doctor,Rural,Low,Visual impairment (Blind),86163,Daily
28,Patna,Male,1752777,Undergraduate degree,Technician,Rural,Medium,Cognitive impairment,86754,Monthly
73,Nagpur,Female,1336185,Undergraduate degree,Businessperson,Sub-urban,High,Speech impairment,29048,Monthly
43,Pune,Male,1357209,Secondary education,Engineer,Rural,Low,Hearing impairment,35004,Daily
51,Chennai,Non-binary,1175192,Undergraduate degree,Engineer,Urban,High,Speech impairment,11282,Monthly
58,Hyderabad,Male,204517,Primary education,Technician,Rural,Low,Hearing impairment,84374,Monthly
26,Bengaluru,Female,1415302,Undergraduate degree,Artist,Sub-urban,Medium,Mobility impairment,73316,Weekly
80,Bhopal,Non-binary,885972,Primary education,Artist,Sub-urban,Low,Mobility impairment,44289,Weekly
47,Pimpri-Chinchwad,Non-binary,807343,Undergraduate degree,Student,Sub-urban,High,Mobility impairment,95693,Monthly
33,Indore,Female,901531,Postgraduate degree,Teacher,Urban,Low,Visual impairment (Blind),60127,Daily
61,Indore,Male,644826,Postgraduate degree,Doctor,Rural,Medium,Mobility impairment,91406,Monthly
60,Mumbai,Non-binary,1266087,Primary education,Farmer,Urban,High,Mobility impairment,76218,Daily
61,Visakhapatnam,Male,1233938,Primary education,Doctor,Rural,High,Hearing impairment,91578,Weekly
54,Hyderabad,Female,731255,Secondary education,Businessperson,Urban,High,Visual impairment (Blind),7305,Weekly
51,Patna,Non-binary,1100187,Postgraduate degree,Technician,Urban,Medium,Cognitive impairment,89216,Monthly
42,Pune,Female,692964,No formal education,Technician,Urban,Low,Hearing impairment,41108,Weekly
20,Vadodara,Non-binary,1564454,Undergraduate degree,Artist,Urban,Low,Speech impairment,84513,Daily
80,Hyderabad,Non-binary,1922661,Undergraduate degree,Student,Rural,Medium,Hearing impairment,82267,Monthly
63,Lucknow,Non-binary,1655114,Secondary education,Artist,Sub-urban,Medium,Speech impairment,82295,Monthly
21,Surat,Female,1307996,Postgraduate degree,Engineer,Sub-urban,Medium,Hearing impairment,52018,Weekly
69,Jaipur,Non-binary,920879,Secondary education,Engineer,Urban,High,Hearing impairment,66817,Daily
27,Bengaluru,Female,754634,Postgraduate degree,Engineer,Urban,Low,Hearing impairment,46683,Daily
48,Hyderabad,Female,657624,Primary education,Artist,Urban,Low,Visual impairment (Blind),6144,Weekly
